anio,codigo_depto,codigo_muni,codigo_evento,num_casos,porcentaje_mun
1260408,3130,3624540,253286,1256.0,0.07909718373721598
674528,13735,13999985,128767,523.0,0.03293616806892035
356428,885,1025184,68378,207.0,0.013035921205098493
463086,3450,3631700,89708,292.0,0.018388835709607535
680520,28730,28868580,130575,431.0,0.027142425311098794
370471,4600,4745912,78100,216.0,0.013602700387928861
557708,11357,11578323,111326,385.0,0.024245553932188017
424846,5275,5443167,86023,292.0,0.018388835709607535
424915,9917,10085378,80423,266.0,0.01675147362587536
732905,9100,9390836,140180,517.0,0.03255831528036677
388596,2895,3049014,72927,261.0,0.01643659630208071
386516,10368,10521600,79108,253.0,0.01593279258400927
4021,2002,150550,1111,2.0,0.00012595092951785984
467137,9512,9697832,94985,288.0,0.01813693385057182
577888,11767,11995739,116000,384.0,0.024182578467429088
320114,3975,4102995,62055,224.0,0.014106504106000303
606074,4515,4757004,120343,479.0,0.030165247619527432
622127,4635,4884054,121526,438.0,0.027583253564411304
314117,3900,4025892,59545,189.0,0.011902362839437755
1500057,40230,40833450,296083,1395.0,0.08785077333870724
2216998,25323,26211507,437837,2645.0,0.16657010428736965
859768,17507,17851589,164647,772.0,0.0486170587938939
430949,4066,4239126,91881,252.0,0.01586981711925034
1385473,13072,13627216,271920,1303.0,0.08205703058088568
223497,1665,1754688,43329,129.0,0.008123834953901959
245669,1830,1928820,47452,141.0,0.008879540531009119
386589,2496,2651520,78975,227.0,0.014295430500277092
658456,1635,1899543,127480,478.0,0.0301022721547685
525510,3915,4127454,106956,356.0,0.022419265454179053
1093364,13575,14017545,218573,990.0,0.062345710111340616
773178,9600,9913728,152210,517.0,0.03255831528036677
316125,2355,2483112,63698,189.0,0.011902362839437755
1185939,23035,23517801,242574,890.0,0.05604816363544763
803381,27930,28258377,157959,600.0,0.03778527885535795
245654,8296,8396040,49567,135.0,0.008501687742455539
336309,4175,4312441,64543,226.0,0.014232455035518161
646328,6099,6362541,137299,413.0,0.026008866945438056
869782,32832,33187536,166283,749.0,0.047168623104438506
332196,2475,2610630,66754,216.0,0.013602700387928861
706668,6669,6958224,145343,461.0,0.029031689253866694
